# nucleoli targets
1 : [1161, 70]
2 : [384, 95]
3 : [205, 341]
4 : [444, 343]
5 : [732, 518]
6 : [149, 550]
7 : [318, 633]
8 : [423, 853]
# targets in center of empty nuclei
9 : [845, 88]
10 : [605, 136]
11 : [244, 154]
12 : [755, 360]
13 : [1350, 521]
14 : [1236, 638]
15 : [924, 735]
16 : [1178, 761]
17 : [628, 893]
