# nucleoli targets
1 : [20, 357]
2 : [509, 430]
3 : [1307, 609]
4 : [354, 597]
5 : [220, 680]
6 : [735, 772]
7 : [227, 797]
8 : [1084, 943]
9 : [132, 942]
10 : [1340, 1028]
# targets in center of empty nuclei
11 : [311, 123]
12 : [1031, 567]
13 : [1350, 749]
14 : [496, 954]
15 : [753, 1007]
