# nucleoli targets
1 : [1042, 126]
2 : [804, 196]
3 : [1105, 294]
4 : [1373, 288]
5 : [1231, 462]
6 : [17, 513]
7 : [511, 626]
8 : [712, 702]
9 : [1183, 751]
10 : [205, 853]
11 : [364, 1007]
# targets in center of empty nuclei
12 : [601, 63]
13 : [335, 668]
14 : [43, 694]
15 : [1298, 703]
16 : [1326, 832]
17 : [573, 935]
18 : [929, 927]
