# nucleoli targets
1 : [486, 70]
2 : [852, 124]
3 : [1345, 257]
4 : [1241, 314]
5 : [1004, 383]
6 : [1293, 527]
7 : [156, 712]
8 : [740, 748]
9 : [1115, 952]
# targets in center of empty nuclei
10 : [1172, 66]
11 : [43, 115]
12 : [1343, 84]
13 : [503, 344]
14 : [415, 473]
15 : [40, 553]
16 : [1045, 686]
17 : [1287, 719]
