# nucleoli targets
1 : [694, 72]
2 : [392, 106]
3 : [1172, 186]
4 : [1374, 353]
5 : [1126, 345]
6 : [108, 362]
7 : [1153, 484]
8 : [243, 566]
9 : [776, 601]
10 : [165, 674]
11 : [1122, 638]
12 : [1233, 885]
13 : [828, 914]
14 : [149, 949]
# targets in center of empty nuclei
15 : [197, 56]
16 : [48, 102]
17 : [268, 372]
18 : [724, 434]
19 : [58, 514]
20 : [128, 766]
21 : [1363, 960]
