# nucleoli targets
1 : [727, 212]
2 : [97, 372]
3 : [581, 620]
4 : [1102, 963]
# targets in center of empty nuclei
5 : [172, 39]
6 : [768, 54]
7 : [1014, 79]
8 : [457, 72]
9 : [1222, 103]
10 : [413, 229]
11 : [971, 275]
12 : [1250, 373]
13 : [798, 435]
14 : [587, 442]
15 : [318, 499]
16 : [1201, 531]
17 : [935, 565]
18 : [1358, 577]
19 : [105, 701]
20 : [1004, 704]
21 : [801, 785]
22 : [1172, 802]
23 : [555, 831]
24 : [253, 844]
25 : [1296, 850]
26 : [926, 934]
27 : [714, 991]
