# nucleoli targets
1 : [650, 39]
2 : [847, 46]
3 : [1189, 268]
4 : [348, 250]
5 : [557, 277]
6 : [117, 467]
7 : [1141, 585]
8 : [43, 606]
9 : [939, 781]
10 : [1221, 739]
11 : [1365, 809]
12 : [623, 811]
13 : [1141, 999]
14 : [828, 987]
15 : [384, 989]
# targets in center of empty nuclei
16 : [153, 127]
17 : [71, 269]
18 : [1001, 340]
19 : [751, 344]
20 : [362, 473]
21 : [695, 534]
22 : [436, 729]
23 : [119, 788]
